Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2014-03-17,4.711997032165527,4.85016815549002,4.425025639793251,4.425025639793251,68200
2014-03-18,5.048568248748779,5.278853682840762,4.694282757608514,4.711997099740122,135600
2014-03-19,4.959996223449707,5.1017102661133835,4.90685354191906,5.013138904980353,25600
2014-03-20,4.959996223449707,4.959996223449707,4.889493292947593,4.959996223449707,8200
2014-03-21,4.69074010848999,4.92456849288367,4.6057116665055595,4.92456849288367,10600
2014-03-24,4.400225639343262,4.623425529787973,4.2691400537562965,4.623425529787973,57400
2014-03-25,4.761595249176025,4.761595249176025,4.322281469155266,4.463995820624222,8200
2014-03-26,4.417940616607666,4.74742592698738,4.339997706057698,4.463997775665693,25200
2014-03-27,4.651769161224365,4.67656904080093,4.446283575916494,4.446283575916494,50600
2014-03-28,4.605711936950684,4.605711936950684,4.601460480814519,4.601460480814519,4200
2014-03-31,4.648225784301758,4.743883032815285,4.623425907075133,4.743883032815285,43200
2014-04-01,4.634053707122803,4.676567921019817,4.625196705929943,4.676567921019817,14600
2014-04-02,4.609254360198975,4.641140108733659,4.534854392909038,4.641140108733659,9800
2014-04-03,4.563197612762451,4.637597586693964,4.538397734076282,4.637597586693964,9400
2014-04-04,4.435655117034912,4.58445473279233,4.428569244065358,4.58445473279233,20800
2014-04-07,4.428568363189697,4.432111298969757,4.251425628662109,4.428568363189697,22600
2014-04-08,4.304569244384766,4.428569320508205,4.25496948423381,4.4250263839622725,17000
2014-04-09,4.251424789428711,4.304567464147416,4.212453517159854,4.29287604867947,8000
2014-04-10,4.254969596862793,4.262055132269187,4.163563791221767,4.215997969572006,70600
2014-04-11,4.240797519683838,4.240797519683838,4.2188317214278035,4.2188317214278035,13600
2014-04-14,4.230169296264648,4.230169296264648,4.127426500815638,4.1628551907799975,15200
2014-04-15,4.152226448059082,4.198283606858886,4.127426231552723,4.127426231552723,18800
2014-04-16,4.215996742248535,4.233711082417231,4.177025464175754,4.180568399784081,15400
2014-04-17,4.251424789428711,4.258510659590078,4.230167516817498,4.233710451898181,79200
2014-04-21,4.145140647888184,4.254969311235511,4.127426303751775,4.254969311235511,8600
2014-04-22,4.1699419021606445,4.244341557870113,4.1564790107828085,4.159313090310924,10800
2014-04-23,4.16285514831543,4.215997844846843,3.716455281108675,4.138055268317174,33800
2014-04-24,3.989254951477051,4.109712079775785,3.971895037049679,4.109712079775785,8000
2014-04-25,4.166396141052246,4.240796084209353,4.017596254738033,4.017596254738033,7200
2014-04-28,4.180569171905518,4.247883271531472,4.177026235642836,4.240797736879108,23800
2014-04-29,4.194741249084473,4.24788395002087,4.148684083932171,4.148684083932171,12400
2014-04-30,4.102626800537109,4.1274266818762575,4.0955412649572285,4.1274266818762575,1200
2014-05-01,4.130969047546387,4.1433689865018195,4.130969047546387,4.1433689865018195,1400
2014-05-02,4.152226448059082,4.233711956638961,4.152226448059082,4.233711956638961,2200
2014-05-05,4.16285514831543,4.233712189648322,4.060112353914481,4.177026556582009,22400
